Feature,Importance
Total_Area,19.864798816558853
Overall Qual,14.63510382981645
Quality_Score,5.637586966246793
Total_Bathrooms,4.594531110195424
Neighborhood_Price_Level_Rank,3.774442034720016
Gr Liv Area,3.639070305197731
BsmtFin SF 1,3.2111865287127697
Kitchen Qual,3.022747995992138
1st Flr SF,2.968267770156365
Neighborhood_Price_Level,2.8705616763865875
Bsmt Qual,2.832152731239098
Age,2.4036948926634714
Year Built,2.2671924923434195
Garage Cars,2.0907177900394873
Lot Area,1.6251994911854764
Has_Fireplace,1.6210543606189969
Total_SF,1.4541973921012408
Lot_Area_Acres,1.4287846695894972
Year Remod/Add,1.2966063937980414
2nd Flr SF,1.2247346852732224
Neighborhood,1.18947970955758
Garage Yr Blt,1.1290607971691848
Total Bsmt SF,1.116890172482049
Total_Porch_SF,1.0441945748852928
MS SubClass,1.0256102469192527
Garage Area,0.945849444919445
Heating QC,0.8228162751782766
Overall Cond,0.7711884734364772
Fireplaces,0.7699479789909439
Age_Group_New,0.7486073763685425
BsmtFin Type 1,0.6789989183204906
Full Bath,0.5984898775539564
Quality_Per_Room,0.5984768496501249
Garage_Cars_Per_Area,0.5965760340944432
Exter Qual,0.5895151178669067
Bathroom_Per_Room,0.5724586459917504
Lot Frontage,0.5439012227556161
Bedroom_Per_Room,0.5398118057361787
Order,0.5341864953026784
Open Porch SF,0.44198827097269233
Total_Basement_SF,0.42255798569238795
Mas Vnr Area,0.4176535587488236
Exterior 1st,0.3569773207128324
Garage Type,0.24567414494463824
Fireplace Qu,0.22487778747496528
Total_Rooms,0.17442491688034747
Foundation,0.1424736263148705
Garage Finish,0.11072960027391625
Exterior 2nd,0.09865178494970461
TotRms AbvGrd,0.08529905302057945
